Materia,Materia matriz,📘 Institutos,Instituto,📘 Materias,Objetivo de la materia,Contenidos mínimos,Bibliografía obligatoria,Bibliografía complementaria,Carga horaria (from 📘 Materias),Programa,Carreras,Currícula,Tipología,📖 Producción,Estado de producción,Avance de producción,Código Materia,ID Materia,Copia de 📖 Producción,Bimestre,Año (from Currícula),👨‍🎓 Búsquedas
HERRAMIENTAS DIGITALES,HERRAMIENTAS DIGITALES,IPP,IPP,Herramientas Digitales,"El Resultado General de Aprendizaje será que el estudiante se introduzca en la imagen digital para el desarrollo de propuestas gráficas con la utilización de herramientas digitales de retoque, ilustración, pintura, dibujo vectorial y exportación de imágenes para su uso en diferentes plataformas y necesidades de una producción que incluya animación","Antecedentes e historia de la imagen fotográfica. Imagen Digital: Cambio de paradigma en la historia de la imagen fotográfica. Introducción al espacio de trabajo de Adobe Photoshop. Formatos de imagen: RGB, CMYK, colores indexados, escalas de grises. Comandos básicos de creación y edición de documentos: Crear, guardar, editar documento. Selección básica: Marcos. Edición básica: Mover y transformar. Copiar, cortar y pegar. Uso de capas: transparencia y modos de fusión. Canales alfa y alfa de luminancia. Uso de máscaras de capas: Creación, selección, pintado y uso de gradientes. Retoque de color: Niveles, Tono y Saturación, Exposición. Herramientas de selección: Lazo Poligonal, Varita Mágica. Filtros de desenfoque. Reparación de fotografía: Clonar, Reparar, Filtro Liquify. Introducción a la pintura digital para animación. Pinceles: Tipos, tamaño. Creación de pinceles de usuario. Parámetros de pinceles dinámicos. Uso de tableta Wacom con pinceles dinámicos. Introducción al dibujo vectorial: Diferencias entre pixeles y vectores, creación y edición de curvas Bezier. Propiedades de formas vectoriales. Intercambio entre selección de pixeles y vectores. Plataformas, usos y formatos de las imágenes digitales. Exportación simple: Guardar como, guardar para Web y dispositivos digitales. Formato GIF. Introducción a la Animación en Photoshop: GIF’s animados. Formatos de compresión JPEG. Formatos PNG, TIFF, TARGA. Formatos avanzados de imagen y profundidad de bits: EXR, HDR. Exportación avanzada, acciones y exportación por lotes

 
","Guirao, Ginés (2023). Cómo dominar la fotografía digital. Marcombo. 
 
Ávalos, Mariano (2022). Alfabetización en manejo de componentes de imagen visual. Ediciones del Aula Taller.  
 
Myriam Ferrón, Nilanjan Malakar (2023). Del papel a la pantalla: la guía definitiva para dominar la pintura digital. Parramón Paidotribo S.L.  
 
González, Rafael C., Woods, Richard E (2022). Tratamiento digital de imágenes. Ediciones Díaz de Santos.
","Adobe Press; 2013; Photoshop CC (Diseño Y Creatividad); Editorial Anaya. 
 
Shelby, Scott; 2015; Manipula Tus Fotografías Digitales Con Photoshop CC - Edición 2015; Editorial Anaya. 
 
Ruddick Bloom Susan; 2009; Digital Painting in Photoshop; Focal Press 

Präkel, David; 2010; Principios de fotografía creativa aplicada; Editorial Gustavo Gili; Fundamentos Fotográficos. Págs. 11 a 34 

Salkeld, Richard; 2014; Cómo leer una fotografía; Editorial Gustavo Gili; Unidad 1: Págs. 12 a 44  

López López, Anna María; 2014; Curso diseño gráfico: fundamentos y técnicas; Difusora Larousse - Ediciones Pirámide; El color en el diseño. Págs. 87 a 115  

Zeegen, Lawrence; 2013; Principios de ilustración (2a. ed.); Editorial Gustavo Gili; Capítulo 1: El ilustrador como artista. Págs. 14 a la 29 ",,,"TÉCNICO EN ANIMACIÓN DIGITAL,TÉCNICO EN ANIMACIÓN DIGITAL,GESTIÓN HOTELERA",0271P12A - 1er Año - 1A,General,,,,0271P12A,6228,,1A,1er Año,
HERRAMIENTAS INFORMÁTICAS,HERRAMIENTAS INFORMÁTICAS,IPP,IPP,Herramientas Informáticas,,,,,,,"TÉCNICO EN SERVICIO SOCIAL,GESTIÓN HOTELERA","CSEQ014 - 2do Año - 2B,CSEQ014 - 2do Año - 2B","General,General",HERRAMIENTAS INFORMÁTICAS - 2B-2025,Finalizado,100%,CSEQ014,6569,,"2B,2B","2do Año,2do Año",
HERRAMIENTAS PARA LA PRODUCTIVIDAD,HERRAMIENTAS PARA LA PRODUCTIVIDAD,IPP,IPP,Herramientas para la Productividad,"El Objetivo General de esta asignatura es introducir al interior de las organizaciones y promover el desarrollo de los conocimientos, aptitudes y habilidades para administrar con eficiencia y efectividad, las actividades y los recursos para el Cumplimiento de Objetivos y Metas que requiere la empresa actual, desde la Visión Global y Sistémica de los procesos.   ","Administración: naturaleza, propósito. El proceso administrativo desde el enfoque sistémico. Etapas de la administración: planificación, organización, dirección y control. Herramientas de Administración (Carta Gantt). Eficiencia, Eficacia y Productividad. Concepto de Organización: clasificación y elementos que la componen. Organización y Sistema: el rol de los sistemas en las organizaciones. Concepto de Productividad: su importancia en las organizaciones y relevancia país. Técnicas y herramientas para mejorar la productividad. Que es un proceso. Que es la Gestión de Procesos. Identificación y segmentación de Procesos. El mapa de procesos. Flujograma de Información. Definición y usos de los diagramas de flujos. Pasos para hacer un diagrama de flujo. Lista de símbolos utilizados en diagramas de flujo. Recursos y plantillas. Consejos rápidos para utilizar símbolos de diagrama de flujo. Definición de indicadores. Tipos de indicadores (KPI). Medidas de efectividad y eficiencia. Procesos e identificación puntos de control. Procesos y definición estándares de desempeño. Estructura y tipificación de KPI. Medición del desempeño en logística. La creación de valor a través de la logística. Sistema de Indicadores de Gestión (Kpi’s) específicos para un almacén. Implantación de Indicadores Logísticos. Fillrate / Nivel de Servicio. KPI de Inventario. KPI de productividad. La misión y el proceso de Planificación estratégica. Metodología para establecer la misión y visión de la empresa. Proveedores y Compradores. Competidores y sustitutos. Análisis interno: Actividades primarias y secundarias. Estrategia y planes Funcionales. Plan Financiero. Conocimiento del Cliente. Procesos internos de Negocio. Aprendizaje y Crecimiento. 
","Aguado Barriales, F., & Navarro Alonso, J. (2022). Todo administración local: gestión presupuestaria y control interno. LA LEY Soluciones Legales S.A.

Hernández Bolaños, P. J. (2022). Fundamentos de la gestión por procesos y modelo para su despliegue en el sector público. Universidad de Las Palmas de Gran Canaria. Servicio de Publicaciones y Difusión Científica.
  
Brunetta, H. (2023). OKRs y métricas de negocios: metodologías ágiles para resultados exitosos. Pluma Digital Ediciones.

Pijl, J. (2023). Estrategia = ejecución: El método para mejorar, renovar e innovar en la era digital. Marge Books.",,,,"TÉCNICO EN CONTROL DE LA PRODUCCIÓN INDUSTRIAL,TÉCNICO EN CONTROL DE LA PRODUCCIÓN INDUSTRIAL,TÉCNICO EN LOGÍSTICA,TÉCNICO EN LOGÍSTICA,SEGURIDAD E HIGIENE","TCEQ023 - 1er Año - 1B,TCEQ023 - 1er Año - 1B,TCEQ023 - 1er Año - 1B,TCEQ023 - 1er Año - 1B","Fundamento,General,Específica,Fundamento",,,,TCEQ023,6388,,"1B,1B,1B,1B","1er Año,1er Año,1er Año,1er Año",
HISTORIA Y TURISMO,HISTORIA Y TURISMO,IPP,IPP,Historia y Turismo,,,,,,,TÉCNICO EN GESTIÓN TURÍSTICA,0361P11 - 1er Año - 1A,Fundamento,,,,0361P11,6413,,1A,1er Año,
IA Aplicada al Diseño y Gestión de Producto,,IPP,IPP,,,,,,,,,,,,,,,,,,,
IA GENERATIVA Y REDES NEURONALES,,IPP,IPP,,,,,,,,,,,,,,,,,,,
ILUSTRACIÓN,ILUSTRACIÓN,IPP,IPP,Ilustración,El Resultado General de Aprendizaje será que el estudiante adquiera el dominio de un poderoso método y un conjunto de herramientas para crear increíbles piezas de arte digital. ,"Introducción a la asignatura. Conceptos específicos y procesos. Cuadrículas de perspectiva y guías para componer la imagen. Trucos y atajos de pintura digital esenciales que multiplicarán la velocidad de trabajo.  Personalización de Brushes. Modificador Liquify. Dodge tool y Burn Tool. Etapas desarrollo luz y sombra de una composición para ilustración digital. Pieza portafolio Blanco y negro. Trazos, formas y proporciones. Ilustración digital color. Tonos y detalles medios ilustración digital color. Detalles avanzados pieza portafolio ilustración digital color. Puntos de fuga. Que es el Photo bashing?  Herramientas lazo, degradado y manchas para generar nivel de detalle. Tonos de color piel realista. Cabello y reflejos. Ropa y pliegues. Renderización de diferentes pases en canal alpha para su composición. Modos de fusión para composición pases de render. Detalles y mejoras composición a través de técnicas mixtas. Finalización a nivel de producción pieza final portafolio.	", http://ebookcentral.proquest.com/lib/ippsp/detail.action?docID=4824612 ,,,,"TÉCNICO EN ANIMACIÓN DIGITAL,TÉCNICO EN ANIMACIÓN DIGITAL,GESTIÓN HOTELERA",0271P42A - 2do Año - 2A,Fundamento,,,,0271P42A,6240,,2A,2do Año,
ILUSTRACIÓN Y COMPOSICIÓN,ILUSTRACIÓN Y COMPOSICIÓN,IPP,IPP,Ilustración y Composición,,,,,,,DISEÑO GRÁFICO DIGITAL,0210P52 - 3er Año - 1A,Específica,,,,0210P52,6170,,1A,3er Año,
INCIDENCIA CIUDADANA EN LA GESTIÓN PÚBLICA,INCIDENCIA CIUDADANA EN LA GESTIÓN PÚBLICA,IPP,IPP,,,,,,,,,"NGEQ056 - 2do Año - 2A,NGEQ056 - 2do Año - 2A","Específica,Específica",,,,NGEQ056,6442,,"2A,2A","2do Año,2do Año",
INFORMÁTICA DE RESERVAS,INFORMÁTICA DE RESERVAS,IPP,IPP,Informática de Reservas,,,,,,,TÉCNICO EN GESTIÓN TURÍSTICA,0361P45 - 2do Año - 2B,Específica,,,,0361P45,6428,,2B,2do Año,
INFORMÁTICA EDUCATIVA,INFORMÁTICA EDUCATIVA,IPP,IPP,Informática educativa,"Seleccionar casos de intervención pedagógica aplicando conceptos de informática educativa, en distintos contextos de educación especial.
Utilizar Recursos Tecnológicos convencionales y no convencionales, adaptándolos a las diversas necesidades de los estudiantes en situación de discapacidad intelectual, sensorial, y/o motriz, en distintos contextos educacionales.
Aplicar software específico o de productividad, para favorecer el aprendizaje de los estudiantes en distintas situaciones educativas de la educación especial.
Analizar	 la web y las redes sociales en relación a su uso en la inclusión de personas con discapacidad reducida, aplicando los conceptos de accesibilidad y usabilidad inclusiva.





",Informática educativa. Impacto social y educativo. Las TIC y educación especial. Rol del TNS en Educación Diferencial en la integración de las TIC. Recursos tecnológicos. Tipos de recursos tecnológicos para la educación especial. Rol del TNS en Educación Diferencial en el uso de recursos tecnológicos. Usos y adaptaciones de recursos tecnológicos. Tipos de contenidos digitales. Adaptación de los contenidos digitales. Creación de contenidos digitales. Rol de TNS en la creación y adaptación de contenidos digitales. La web y accesibilidad para la educación especial. La web y usabilidad para la educación especial. Redes sociales. Rol del TNS en el uso y accesibilidad de la web. ,,,,,TÉCNICO EN EDUCACIÓN PARVULARIA Y PRIMER CICLO BÁSICO,0131P45A - 2do Año - 2B,General,,,,0131P45A,6144,,2B,2do Año,
INFORMÁTICA EDUCATIVA APLICADA A LA EDUCACIÓN ESPECIAL,INFORMÁTICA EDUCATIVA APLICADA A LA EDUCACIÓN ESPECIAL,IPP,IPP,Informática Educativa Aplicada a la Educación Especial,"El Resultado General de Aprendizaje es que el estudiante utiliza la tecnología para seleccionar recursos tecnológicos para el aprendizaje, orientados a las necesidades educativas especiales.","Introducción a la asignatura. Conceptos a desarrollar en el módulo. Informática educativa. Impacto Social y Educativo. Características. Las TIC y educación especial. Rol de las TIC en la educación especial. Rol del TNS en Educación Diferencial en la integración de las TIC. Recursos Tecnológicos. Funciones de los recursos tecnológicos. Recursos tecnológicos para la educación especial: TIC y discapacidad auditiva, TIC y discapacidad audiovisual, TIC y discapacidad motora, TIC y discapacidad cognitiva y trastornos del espectro autista. Características específicas. Rol del TNS en educación diferencial en el uso de recursos tecnológicos para la educación especial. Usos y adaptaciones de recursos tecnológicos. Contenidos digitales. Tipos de contenidos digitales: Software de productividad de autor y específicos (Word, Power Point, Exclen, Jclic, Audio Bookmaker, CAA – Araword, Adapro, Proyecto Azahar, Proyecto Aprender, Aula PT Picaa, Aprendizaje Móvil, H@Z TIC, Hetal Transcriptor, Proyecto Emociones, Aplicaciones de realidad aumentad, ARCrowd, Bakia, Aurasma Studio) Aplicación de los contenidos digitales para distintas situaciones educativas. Adaptación de los contenidos digitales para distintas situaciones educativas. Creación de contenidos digitales para distintas situaciones educativas según indicaciones entregadas. Rol del TNS en la creación y adaptación de contenidos digitales. Internet y la web. La web y accesibilidad para la educación especial. Las redes sociales y la educación especial. Rol del TNS en el uso y accesibilidad de la web.  ","Gullo, Javier (2020). Tecnología y educación: experiencias y miradas para la implementación de las nuevas tecnologías en el aula (2a. ed.). Editorial Maipue 
 
Romero García, C., Buzón García, O (2024). Educación 360: emociones, tecnología, evaluación e inclusión en la era digital. Dykinson.  
 
Roma, Cecilia (2021). TInCluimos: propuestas didácticas con TIC para una educación inclusiva. Editorial Universidad de Flores.  
 
Ruiz Cabezas, A., Cano, J., Ricardo Barreto, C (2023). Educación intercultural y las mediaciones TIC: un abordaje desde la interdisciplinariedad. Universidad del Norte
",,,,"TÉCNICO EN EDUCACIÓN DIFERENCIAL,TÉCNICO EN EDUCACIÓN DIFERENCIAL","0121P45A - 2do Año - 2B,0121P45A - 2do Año - 1B","Específica,General",,,,0121P45A,6131,,"2B,1B","2do Año,2do Año",
INFRAESTRUCTURA ENERGÉTICA,,IPP,IPP,,,,,,,,,,,INFRAESTRUCTURA ENERGÉTICA - 1B-2026,Pendiente,NaN,,,,,,
INGENIERÍA DE REQUERIMIENTOS,INGENIERÍA DE REQUERIMIENTOS,IPP,IPP,,,,,,,,,,,,,,0421P45,6546,,,,
INGENIERÍA DE SOFTWARE,INGENIERÍA DE SOFTWARE,IPP,IPP,,,,,,,,,,,,,,0421P41,6543,,,,
INGLÉS I,INGLÉS I,IPP,IPP,Inglés I,"Al final de esta asignatura el alumno tendrá una comprensión de la idea central en la lectura de textos en inglés, reconocerá vocabulario básico cotidiano en palabras y frases que lea y escuche y podrá escribir textos básicos cortos. ","Conversacionales: Lenguaje específico para preguntar y dar información personal. Vocabulario: alfabeto, números y países. Gramaticales: Uso del verbo “BE”, Presente Simple. Conversacionales: Lenguaje específico para referirse a alimentos y bebidas y para realizar compras en el supermercado. Lenguaje específico para referirse a rutinas diarias y ocupaciones laborales. Vocabulario: Expresiones para referirse a ocupaciones, rutinas y horarios, comidas y bebidas. Gramaticales: Uso de “s” en la tercera persona singular. Preposiciones (next to, behind, in, on, under). Conversacionales: Expresiones y lenguaje para describir síntomas de malestar físico, programar visitas al médico, hablar de días de la semana. Vocabulario: Enfermedades / Expresiones y lenguaje para preguntar por descripción de prendas de vestir, shopping, vestuario, accesorios. Conversacionales: Expresiones y lenguaje para preguntar información sobre vivienda y mobiliario y describir objetos al interior de una habitación. Vocabulario: Expresiones y lenguaje para referirse a actividades y lugares de esparcimiento. Gramaticales: Adjetivos para describir.","Muñoz Ortiz, Fernando (2020). Inglés A1. Editorial Tutor Formación.  

Quinn, Padraic Michael (2023) Introducción a la gramática inglesa: guía gramatical para hispanoparlantes. Editorial Unimagdalena.  

Escobar Álvarez, María Ángeles (2020). Curso de inglés para adultos. UNED - Universidad Nacional de Educación a Distancia 
","""OUTCOMES, ELEMENTARY”.  HEINLE CENGAGE LEARNING, DELLAR, H & WALKLEY, A.  (2011). REINO UNIDO. 
 
""ENGLISH FOR INTERNATIONAL TOURISM”. JACOB, M & STRUTT, P. (2007). LONGMAN, ESPAÑA. 
 
“HIGHLY RECOMMENDED, PRE INTERMEDIATE”.  STOTT, T & REVELL, R. (2004). OXFORD, REINO UNIDO. 
 
“TOURISM”. WALKER, R & HARDING, K. (2006).  OXFORD, REINO UNIDO. 
 
“FIRST CLASS, ENGLISH FOR TOURISM”. . HALL, S & BLAPPERT, T. (1999).THOMSON, SINGAPUR.  
 
“BEST PRACTICE, ELEMENTARY”. MASCULL, B. (2005). THOMSON, SINGAPUR. 
",,,"DISEÑO GRÁFICO DIGITAL,TÉCNICO EN ANIMACIÓN DIGITAL,TÉCNICO EN ANIMACIÓN DIGITAL,GESTIÓN HOTELERA,TÉCNICO EN PUBLICIDAD,TÉCNICO EN COMERCIO EXTERIOR,TÉCNICO EN GESTIÓN TURÍSTICA","ING01 - 1er Año - 2B,ING01 - 2do Año - 1B,ING01 - 2do Año - 1B,ING01 - 1er Año - 1B,ING01 - 1er Año - 1B,ING01 - 3er Año - 1A,ING01 - 1er Año - 1A,ING01 - 2do Año - 1B,ING01 - 1er Año - 1A,ING01 - 1er Año - 1A","Fundamento,General,Fundamento,Fundamento,Fundamento,General,General,General,General,General",,,,ING01,6156,,"2B,1B,1B,1B,1B,1A,1A,1B,1A,1A","1er Año,2do Año,2do Año,1er Año,1er Año,3er Año,1er Año,2do Año,1er Año,1er Año",
INGLÉS II,INGLÉS II,IPP,IPP,Inglés II,"El estudiante reconocerá la idea central y detalles básicos de lo leído, identificará palabras y frases que escuche, escribirá y completará información personal y o básica en formularios, email, notas y otros soportes, aplicará el lenguaje aprendido para pedir y dar información personal y presentarse a otros, identificará vocabulario habitual de alimentos, bebidas, partes del cuerpo, números del 1 al 100, días de la semana y colores. ","Conversacionales: Lenguaje específico para explicitar información que describe las preferencias de las personas y para referirse a espectáculos masivos en general. Vocabulario: Palabras y expresiones  relativas a actividades de entretenimiento. Términos específicos asociado a infracciones de tránsito, regulaciones, ley y orden. Gramaticales: Verbo “be”, Yes/no questions con el verbo “be”.  Contracciones con el verbo “be”. Sustantivos: this, that these y those. Conversacionales: Lenguaje específico para pedir información de alimentos y bebidas en el restaurant  y  para ordenar alimentos y bebidas en cafés o restaurantes. Vocabulario: Vocabulario asociado a hotelería. Gramaticales: Formación del  plural en sustantivos, there is/are, tiempo verbal Presente Progresivo. Artículos a/an y the. Conversacionales: lenguaje específico para agendar y planificar citas y expresiones para conversaciones informales y de carácter cotidiano. Gramaticales: Presente continuo: Negativos, Presente continuo: preguntas con WH, Uso de Let´s go, Adjetivos. Conversacionales: Lenguaje  y expresiones para  indicar “pertenencia” y para referirse a medios de transporte. Vocabulario: Shopping, Transporte. Gramaticales: Possessives, contractions, Pronouns: subject, object.

","Muñoz Ortiz, Fernando (2020). Inglés A1. Editorial Tutor Formación.  

Quinn, Padraic Michael (2023) Introducción a la gramática inglesa: guía gramatical para hispanoparlantes. Editorial Unimagdalena.  

Escobar Álvarez, María Ángeles (2020). Curso de inglés para adultos. UNED - Universidad Nacional de Educación a Distancia 
","“TOURISM”. WALKER, R & HARDING, K. (2006).  OXFORD, REINO UNIDO. 
 
“FIRST CLASS, ENGLISH FOR TOURISM”. . HALL, S & BLAPPERT, T. (1999).THOMSON, SINGAPUR.  
 
“BEST PRACTICE, ELEMENTARY”. MASCULL, B. (2005). THOMSON, SINGAPUR. 
",,,"DISEÑO GRÁFICO DIGITAL,TÉCNICO EN ANIMACIÓN DIGITAL,TÉCNICO EN ANIMACIÓN DIGITAL,GESTIÓN HOTELERA,TÉCNICO EN PUBLICIDAD,TÉCNICO EN COMERCIO EXTERIOR,TÉCNICO EN GESTIÓN TURÍSTICA","ING02 - 2do Año - 1B,ING02 - 2do Año - 2B,ING02 - 2do Año - 2B,ING02 - 1er Año - 2A,ING02 - 1er Año - 2B,ING02 - 3er Año - 2A,ING02 - 1er Año - 2A,ING02 - 2do Año - 2B,ING02 - 2do Año - 1A,ING02 - 2do Año - 1A","Fundamento,General,Fundamento,Fundamento,Fundamento,General,General,General,General,General",,,,ING02,6162,,"1B,2B,2B,2A,2B,2A,2A,2B,1A,1A","2do Año,2do Año,2do Año,1er Año,1er Año,3er Año,1er Año,2do Año,2do Año,2do Año",
INGLÉS III,INGLÉS III,IPP,IPP,Inglés III,,,,,,,"DISEÑO GRÁFICO DIGITAL,TÉCNICO EN COMERCIO EXTERIOR,TÉCNICO EN GESTIÓN TURÍSTICA","ING03 - 3er Año - 1B,ING03 - 2do Año - 1A,ING03 - 2do Año - 1B,ING03 - 3er Año - 2B,ING03 - 2do Año - 2A,ING03 - 2do Año - 2A","Fundamento,Fundamento,Fundamento,General,General,General",,,,ING03,6174,,"1B,1A,1B,2B,2A,2A","3er Año,2do Año,2do Año,3er Año,2do Año,2do Año",
